country,Country_Name,IFS,income,Area,G20,Reference currency,EU,CEMAC,WAEMU ,ECCU,HARD PEG to USD,HARD PEG TO EURO,HARD PEG TO AUS DOLLAR,HARD PEG TO STH AFR RAND,HARD PEG TO INDIAN RUPEE,HARD PEG TO...,Managed,RESERVES POLICY
"Afghanistan, I.S. of",Afghanistan,512,LIC,MCD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Albania,Albania,914,EM,EUR,0,EUR,0,0,0,0,0,0,0,0,0,0,0,1
Algeria,Algeria,612,EM,MCD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Angola,Angola,614,EM,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Anguilla,Anguilla,312,EM,WHD,0,USD,0,0,0,1,1,0,0,0,0,1,0,1
Antigua and Barbuda,Antigua and Barbuda,311,EM,WHD,0,USD,0,0,0,1,1,0,0,0,0,1,0,1
Argentina,Argentina,213,EM,WHD,1,USD,0,0,0,0,0,0,0,0,0,0,0,1
Armenia,Armenia,911,EM,MCD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Aruba,Aruba,314,EM,WHD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Australia,Australia,193,AE,APD,1,USD,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Austria,122,AE,EUR,0,USD,1,0,0,0,0,1,0,0,0,1,0,0
Azerbaijan,Azerbaijan,912,EM,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
"Bahamas, The",Bahamas,313,EM,WHD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Bahrain,Bahrain,419,EM,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Bangladesh,Bangladesh,513,LIC,APD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Barbados,Barbados,316,EM,WHD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Belarus,Belarus,913,EM,EUR,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Belgium,Belgium,124,AE,EUR,0,USD,1,0,0,0,0,1,0,0,0,1,0,0
Belize,Belize,339,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Benin,Benin,638,LIC,AFR,0,EUR,0,0,1,0,0,1,0,0,0,1,0,0
Bhutan,Bhutan,514,LIC,APD,0,INR,0,0,0,0,0,0,0,0,1,1,0,1
Bolivia,Bolivia,218,EM,WHD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Bosnia&Herzegovina,Bosnia&Herzegovina,963,EM,EUR,0,EUR,0,0,0,0,0,0,0,0,0,0,0,1
Botswana,Botswana,616,EM,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
